RAL,RGB,HEX,CMYK,LRV,English,German,French,Spanish,Italian,Dutch
RAL1018,250-202-49,#FACA31,0-19-80-2,63.81,Zincyellow,Zinkgelb,Jaunezinc,Amarillodezinc,Giallozinco,Zinkgeel
RAL1019,164-143-122,#A48F7A,0-13-26-36,30.53,Greybeige,Graubeige,Beigegris,Beigeagrisado,Beigegrigiastro,Grijsbeige
RAL1020,160-143-101,#A08F65,0-11-37-37,29.44,Oliveyellow,Olivgelb,Jauneolive,Amarillooliva,Gialloolivastro,Olijfgeel
RAL1021,246-182-0,#F6B600,0-26-100-4,53.97,Colzayellow,Rapsgelb,Jaunecolza,Amarillocolza,Giallonavone,Koolzaadgeel
RAL1023,247-181-0,#F7B500,0-27-100-3,54.24,Trafficyellow,Verkehrsgelb,Jaunesignalisation,Amarillotráfico,Giallotraffico,Verkeersgeel
RAL1024,186-143-76,#BA8F4C,0-23-59-27,32.74,Ochreyellow,Ockergelb,Jauneocre,Amarilloocre,Gialloocra,Okergeel
RAL1026,255-255-0,#FFFF00,0-0-100-0,88.65,Luminousyellow,Leuchtgelb,Jaunebrillant,Amarillobrillante,Giallobrillante,Briljantgeel
RAL1027,167-127-15,#A77F0F,0-24-91-35,25.72,Curry,Currygelb,Jaunecurry,Amarillocurry,Giallocurry,Kerriegeel
RAL1028,255-156-0,#FF9C00,0-39-100-0,47.55,Melonyellow,Melonengelb,Jaunemelon,Amarillomelón,Giallomelone,Meloengeel
RAL1032,226-163-0,#E2A300,0-28-100-11,43.37,Broomyellow,Ginstergelb,Jaunegenêt,Amarilloretama,Gialloscopa,Bremgeel
RAL1033,249-154-29,#F99A1D,0-38-88-2,44.66,Dahliayellow,Dahliengelb,Jaunedahlia,Amarillodalia,Giallodalia,Dahliageel
RAL1034,235-156-82,#EB9C52,0-34-65-8,43.82,Pastelyellow,Pastellgelb,Jaunepastel,Amarillopastel,Giallopastello,Pastelgeel
RAL1035,143-131-112,#8F8370,0-8-22-44,34.58,Pearlbeige,Perlbeige,Beigenacré,Beigeperlado,Beigeperlato,Parelmoergrijs
RAL1036,128-100-64,#806440,0-22-50-50,28.3,Pearlgold,Perlgold,Ornacré,Oroperlado,Oroperlato,Parelmoergoud
RAL1037,240-146-0,#F09200,0-39-100-6,40.61,Sunyellow,Sonnengelb,Jaunesoleil,Amarillosol,Giallosole,Zonnegeel
RAL2000,218-110-0,#DA6E00,0-50-100-15,28.22,Yelloworange,Gelborange,Orangéjaune,Amarillonaranja,Aranciogiallastro,Geeloranje
RAL2001,186-72-28,#BA481C,0-61-85-27,17.78,Redorange,Rotorange,Orangérouge,Rojoanaranjado,Aranciorossastro,Roodoranje
RAL2002,191-57-34,#BF3922,0-70-82-25,16.33,Vermilion,Blutorange,Orangésang,Naranjasanguíneo,Aranciosanguigno,Vermiljoen
RAL2003,246-120-41,#F67829,0-51-83-4,34.84,Pastelorange,Pastellorange,Orangépastel,Naranjapálido,Aranciopastello,Pasteloranje
RAL2004,226-83-4,#E25304,0-63-98-11,24.61,Pureorange,Reinorange,Orangépur,Naranjapuro,Aranciopuro,Zuiveroranje
RAL2005,255-77-8,#FF4D08,0-70-97-0,33.91,Luminousorange,Leuchtorange,Orangébrillant,Naranjabrillante,Aranciobrillante,Briljantoranje
RAL2007,255-178-0,#FFB200,0-30-100-0,61.33,Luminousbrightorange,Leuchthellorange,Orangéclairbrillant,Naranjaclarobrillante,Aranciochiarobrillante,Briljantlichtoranje
RAL2008,236-107-34,#EC6B22,0-55-86-7,29.95,Brightredorange,Hellrotorange,Orangérougeclair,Rojoclaroanaranjado,Rossoaranciochiaro,Lichtroodoranje
RAL2009,222-83-8,#DE5308,0-63-96-13,23.78,Trafficorange,Verkehrsorange,Orangésignalisation,Naranjatráfico,Aranciotraffico,Verkeersoranje
RAL2010,208-93-41,#D05D29,0-55-80-18,23.01,Signalorange,Signalorange,Orangédesécurité,Naranjaseñales,Aranciosegnale,Signaaloranje
RAL2011,226-110-15,#E26E0F,0-51-93-11,29.44,Deeporange,Tieforange,Orangéfoncé,Naranjaintenso,Arancioprofondo,Dieporanje
RAL2012,213-101-78,#D5654E,0-53-63-16,25.27,Salmonorange,Lachsorange,Orangésaumon,Naranjasalmón,Aranciosalmone,Zalmoranje
RAL2013,146-62-37,#923E25,0-58-75-43,14.25,Pearlorange,Perlorange,Orangénacré,Naranjaperlado,Arancioperlato,Parelmoeroranje
RAL2017,252-85-0,#FC5500,0-66-100-1,,RALorange,RALorange,OrangéRAL,NaranjaRAL,ArancioRAL,RALoranje
RAL3000,167-41-32,#A72920,0-75-81-35,12.63,Flamered,Feuerrot,Rougefeu,Rojovivo,Rossofuoco,Vuurrood
RAL3001,155-36-35,#9B2423,0-77-77-39,11.09,Signalred,Signalrot,Rougedesécurité,Rojoseñales,Rossosegnale,Signaalrood
RAL3002,155-35-33,#9B2321,0-77-79-39,10.8,Carminered,Karminrot,Rougecarmin,Rojocarmin,Rossocarminio,Karmijnrood
RAL3003,134-26-34,#861A22,0-81-75-47,8.75,Rubyred,Rubinrot,Rougerubis,Rojorubí,Rossorubino,Robijnrood
RAL3004,107-28-35,#6B1C23,0-74-67-58,7.39,Purplered,Purpurrot,Rougepourpre,Rojopúrpura,Rossoporpora,Purperrood
RAL3005,89-25-31,#59191F,0-72-65-65,6.5,Winered,Weinrot,Rougevin,Rojovino,Rossovino,Wijnrood
RAL3007,62-32-34,#3E2022,0-48-45-76,5.47,Blackred,Schwarzrot,Rougenoir,Rojonegruzco,Rossonerastro,Zwartrood
RAL3009,109-52-45,#6D342D,0-52-59-57,8.5,Oxidered,Oxidrot,Rougeoxyde,Rojoóxido,Rossoossido,Oxyderood
RAL3011,120-36-35,#782423,0-70-71-53,8.22,Brownred,Braunrot,Rougebrun,Rojopardo,Rossomarrone,Bruinrood
RAL3012,197-133-109,#C5856D,0-32-45-23,31.93,Beigered,Beigerot,Rougebeige,Rojobeige,Rossobeige,Beigerood
RAL3013,151-46-37,#972E25,0-70-75-41,11.36,Tomatored,Tomatenrot,Rougetomate,Rojotomate,Rossopomodoro,Tomaatrood
RAL3014,203-115-117,#CB7375,0-43-42-20,27.79,Antiquepink,Altrosa,Vieuxrose,Rojoviejo,Rosaantico,Oudroze
RAL3015,216-160-166,#D8A0A6,0-26-23-15,44.15,Lightpink,Hellrosa,Roseclair,Rosaclaro,Rosachiaro,Lichtroze
RAL3016,166-61-48,#A63D30,0-63-71-35,13.96,Coralred,Korallenrot,Rougecorail,Rojocoral,Rossocorallo,Koraalrood
RAL3017,202-85-93,#CA555D,0-58-54-21,21.8,Rose,Rosé,Rosé,Rosa,Rosato,Bleekrood
RAL3018,198-63-74,#C63F4A,0-68-63-22,18.61,Strawberryred,Erdbeerrot,Rougefraise,Rojofresa,Rossofragola,Aardbeirood
RAL3020,187-31-17,#BB1F11,0-83-91-27,14.16,Trafficred,Verkehrsrot,Rougesignalisation,Rojotráfico,Rossotraffico,Verkeersrood
RAL3022,207-105-85,#CF6955,0-49-59-19,25.49,Salmonpink,Lachsrot,Rougesaumon,Rojosalmón,Rossosalmone,Zalmrood
RAL3024,255-45-33,#FF2D21,0-82-87-0,24.33,Luminousred,Leuchtrot,Rougebrillant,Rojobrillante,Rossobrillante,Briljantrood
RAL3026,255-42-28,#FF2A1C,0-84-89-0,26.1,Luminousbrightred,Leuchthellrot,Rougeclairbrillant,Rojoclarobrillante,Rossochiarobrillante,Briljantlichtrood
RAL3027,171-39-60,#AB273C,0-77-65-33,13.04,Raspberryred,Himbeerrot,Rougeframboise,Rojoframbuesa,Rossolampone,Framboosrood
RAL3028,204-44-36,#CC2C24,0-78-82-20,17.29,Purered,Reinrot,Rougepu,Rojopuro,Rossopuro,Zuiverrood
RAL3031,166-52-55,#A63437,0-69-67-35,13.57,Orientred,Orientrot,Rougeoriental,Rojooriente,Rossooriente,Oriëntrood
RAL3032,112-29-36,#701D24,0-74-68-56,8.36,Pearlrubyred,Perlrubinrot,Rougerubisnacré,Rojorubíperlado,Rossorubinoperlato,Parelmoerdonkerrood
RAL3033,165-58-46,#A53A2E,0-65-72-35,16.19,Pearlpink,Perlrosa,Rosenacré,Rosaperlado,Rosaperlato,Parelmoerlichtrood
RAL4001,129-97-131,#816183,2-26-0-49,17.5,Redlilac,Rotlila,Lilasrouge,Rojolila,Lillarossastro,Roodlila
RAL4002,141-60-75,#8D3C4B,0-57-47-45,12.31,Redviolet,Rotviolett,Violetrouge,Rojovioleta,Violarossastro,Roodpaars
RAL4003,196-97-140,#C4618C,0-51-29-23,24.5,Heatherviolet,Erikaviolett,Violetbruyère,Violetaérica,Violaerica,Heidepaars
RAL4004,101-30-56,#651E38,0-70-45-60,7.18,Claretviolet,Bordeauxviolett,Violetbordeaux,Burdeos,Violabordeaux,Bordeauxpaars
RAL4005,118-104-154,#76689A,23-32-0-40,18.87,Bluelilac,Blaulila,Lilasbleu,Lilaazulado,Lillabluastro,Blauwlila
RAL4006,144-51-115,#903373,0-65-20-44,12.69,Trafficpurple,Verkehrspurpur,Pourpresignalisation,Púrpurátráfico,Porporatraffico,Verkeerspurper
RAL4007,71-36-60,#47243C,0-49-15-72,6.24,Purpleviolet,Purpurviolett,Violetpourpre,Violetapúrpura,Porporavioletto,Purperviolet
RAL4008,132-76-130,#844C82,0-42-2-48,14.21,Signalviolet,Signalviolett,Violetdesécurité,Violetaseñales,Violettosegnale,Signaalviolet
RAL4009,157-134-146,#9D8692,0-15-7-38,27.96,Pastelviolet,Pastellviolett,Violetpastel,Violetapastel,Violettopastello,Pastelviolet
RAL4010,187-64-119,#BB4077,0-66-36-27,18.48,Telemagenta,Telemagenta,Telemagenta,Magentatele,TeleMagenta,Telemagenta
RAL4011,110-99-135,#6E6387,19-27-0-47,23.15,Pearlviolet,Perlviolett,Violetnacré,Violetaperlado,Violettoperlato,Parelmoerdonkerviolet
RAL4012,106-107-127,#6A6B7F,17-16-0-50,25.34,Pearlblackberry,Perlbrombeer,Mûrenacré,Moradoperlado,Moraperlato,Parelmoerlichtviolet
RAL5000,48-79-110,#304F6E,56-28-0-57,9.81,Violetblue,Violettblau,Bleuviolet,Azulvioleta,Bluviolaceo,Paarsblauw
RAL5001,14-76-100,#0E4C64,86-24-0-61,8.57,Greenblue,Grünblau,Bleuvert,Azulverdoso,Bluverdastro,Groenblauw
RAL5002,0-56-122,#00387A,100-54-0-52,7.44,Ultramarineblue,Ultramarinblau,Bleuoutremer,Azulultramar,Bluoltremare,Ultramarijnblauw
RAL5003,31-56-85,#1F3855,64-34-0-67,6.21,Sapphireblue,Saphirblau,Bleusaphir,Azulzafiro,Bluzaffiro,Saffierblauw
RAL5004,25-30-40,#191E28,38-25-0-84,4.62,Blackblue,Schwarzblau,Bleunoir,Azulnegruzco,Blunerastro,Zwartblauw
RAL5005,0-83-135,#005387,100-39-0-47,10.27,Signalblue,Signalblau,Bleudesécurité,Azulseñales,Blusegnale,Signaalblauw
RAL5007,55-107-140,#376B8C,61-24-0-45,15.25,Brillantblue,Brillantblau,Bleubrillant,Azulbrillante,Blubrillante,Briljantblauw
RAL5008,43-58-68,#2B3A44,37-15-0-73,7.0,Greyblue,Graublau,Bleugris,Azulgrisáceo,Blugrigiastro,Grijsblauw
RAL5009,33-95-120,#215F78,73-21-0-53,11.9,Azureblue,Azurblau,Bleuazur,Azulazur,Bluazzurro,Azuurblauw
RAL5010,0-79-124,#004F7C,100-36-0-51,9.31,Gentianblue,Enzianblau,Bleugentiane,Azulgenciana,Blugenziana,Gentiaanblauw
RAL5011,26-43-60,#1A2B3C,57-28-0-76,5.44,Steelblue,Stahlblau,Bleuacier,Azulacero,Bluacciaio,Staalblauw
RAL5012,0-137-182,#0089B6,100-25-0-29,23.21,Lightblue,Lichtblau,Bleuclair,Azulluminoso,Bluluce,Lichtblauw
RAL5013,25-49-83,#193153,70-41-0-67,6.1,Cobaltblue,Kobaltblau,Bleucobalt,Azulcobalto,Blucobalto,Kobaltblauw
RAL5014,99-125-150,#637D96,34-17-0-41,21.54,Pigeonblue,Taubenblau,Bleupigeon,Azulcolombino,Blucolomba,Duifblauw
RAL5015,0-124-175,#007CAF,100-29-0-31,19.03,Skyblue,Himmelblau,Bleuciel,Azulceleste,Blucielo,Hemelsblauw
RAL5017,0-91-140,#005B8C,100-35-0-45,11.46,Trafficblue,Verkehrsblau,Bleusignalisation,Azultráfico,Blutraffico,Verkeersblauw
RAL5018,4-139-140,#048B8C,97-1-0-45,23.01,Turquoiseblue,Türkisblau,Bleuturquoise,Azulturquesa,Bluturchese,Turkooisblauw
RAL5019,0-94-131,#005E83,100-28-0-49,11.79,Capriblue,Capriblau,Bleucapri,Azulcapri,Blucapri,Capriblauw
RAL5020,0-65-75,#00414B,100-13-0-71,7.18,Oceanblue,Ozeanblau,Bleuocéan,Azulocéano,Bluoceano,Oceaanblauw
RAL5021,0-117-119,#007577,100-2-0-53,15.94,Waterblue,Wasserblau,Bleud’eau,Azulagua,Bluacqua,Waterblauw
RAL5022,34-45-90,#222D5A,62-50-0-65,6.01,Nightblue,Nachtblau,Bleunocturne,Azulnoche,Blunotte,Nachtblauw
RAL5023,65-105-140,#41698C,54-25-0-45,16.13,Distantblue,Fernblau,Bleudistant,Azullejanía,Bludistante,Verblauw
RAL5024,96-147-172,#6093AC,44-15-0-33,28.56,Pastelblue,Pastellblau,Bleupastel,Azulpastel,Blupastello,Pastelblauw
RAL5025,32-105-124,#20697C,74-15-0-51,17.91,Pearlgentianblue,Perlenzian,Gentianenacré,Gencianperlado,Blugenzianaperlato,Parelmoerblauw
RAL5026,15-48-82,#0F3052,82-41-0-68,7.63,Pearlnightblue,Perlnachtblau,Bleunuitnacré,Azulnocheperlado,Blunotteperlato,Parelmoernachtblauw
RAL6000,60-116-96,#3C7460,48-0-17-55,17.11,Patinagreen,Patinagrün,Vertpatine,Verdepatina,Verdepatina,Patinagroen
RAL6001,54-103-53,#366735,48-0-49-60,13.54,Emeraldgreen,Smaragdgrün,Vertémeraude,Verdeesmeralda,Verdesmeraldo,Smaragdgroen
RAL6002,50-89-40,#325928,44-0-55-65,11.18,Leafgreen,Laubgrün,Vertfeuillage,Verdehoja,Verdefoglia,Loofgroen
RAL6003,80-83-60,#50533C,4-0-28-67,10.81,Olivegreen,Olivgrün,Vertolive,Verdeoliva,Verdeoliva,Olijfgroen
RAL6004,2-68-66,#024442,97-0-3-73,7.66,Bluegreen,Blaugrün,Vertbleu,Verdeazulado,Verdebluastro,Blauwgroen
RAL6005,17-66-50,#114232,74-0-24-74,7.09,Mossgreen,Moosgrün,Vertmousse,Verdemusgo,Verdemuschio,Mosgroen
RAL6006,60-57-46,#3C392E,0-5-23-76,7.51,Greyolive,Grauoliv,Olivegris,Olivagrisáceo,Olivagrigiastro,Grijsolijfgroen
RAL6007,44-50-34,#2C3222,12-0-32-80,6.33,Bottlegreen,Flaschengrün,Vertbouteille,Verdebotella,Verdebottiglia,Flessengroen
RAL6008,54-52-42,#36342A,0-4-22-79,6.05,Browngreen,Braungrün,Vertbrun,Verdeparduzco,Verdebrunastro,Bruingroen
RAL6009,39-53-42,#27352A,26-0-21-79,6.11,Firgreen,Tannengrün,Vertsapin,Verdeabeto,Verdeabete,Dennengroen
RAL6010,77-111-57,#4D6F39,31-0-49-56,15.18,Grassgreen,Grasgrün,Vertherbe,Verdehierba,Verdeerba,Grasgroen
RAL6011,107-124-89,#6B7C59,14-0-28-51,20.85,Resedagreen,Resedagrün,Vertréséda,Verdereseda,Verdereseda,Resedagroen
RAL6012,47-61-58,#2F3D3A,23-0-5-76,7.01,Blackgreen,Schwarzgrün,Vertnoir,Verdenegruzco,Verdenerastro,Zwartgroen
RAL6013,124-118-90,#7C765A,0-5-27-51,20.19,Reedgreen,Schilfgrün,Vertjonc,Verdecaña,Verdecanna,Rietgroen
RAL6014,71-65-53,#474135,0-8-25-72,7.84,Yellowolive,Gelboliv,Olivejaune,Amarillooliva,Olivagiallastro,Geelolijfgroen
RAL6015,61-61-54,#3D3D36,0-0-11-76,7.0,Blackolive,Schwarzoliv,Olivenoir,Olivanegruzco,Olivanerastro,Zwartolijfgroen
RAL6016,0-105-76,#00694C,100-0-28-59,12.99,Turquoisegreen,Türkisgrün,Vertturquoise,Verdeturquesa,Verdeturchese,Turkooisgroen
RAL6017,88-127-64,#587F40,31-0-50-50,20.05,Maygreen,Maigrün,Vertmai,Verdemayo,Verdemaggio,Meigroen
RAL6018,96-153-59,#60993B,37-0-61-40,27.51,Yellowgreen,Gelbgrün,Vertjaune,Verdeamarillento,Verdegiallastro,Geelgroen
RAL6019,185-206-172,#B9CEAC,10-0-17-19,58.29,Pastelgreen,Weißgrün,Vertblanc,Verdeblanquecino,Verdebiancastro,Witgroen
RAL6020,55-66-47,#37422F,17-0-29-74,8.28,Chromegreen,Chromoxidgrün,Vertoxydechromique,Verdecromo,Verdecromo,Chroomoxydegroen
RAL6021,138-153-119,#8A9977,10-0-22-40,32.14,Palegreen,Blaßgrün,Vertpâle,Verdepálido,Verdepallido,Bleekgroen
RAL6022,58-51-39,#3A3327,0-12-33-77,6.32,Olivedrab,Braunoliv,Olivebrun,Olivaparduzco,Olivabrunastro,Bruinolijfgroen
RAL6024,0-131-81,#008351,100-0-38-49,19.75,Trafficgreen,Verkehrsgrün,Vertsignalisation,Verdetráfico,Verdetraffico,Verkeersgroen
RAL6025,94-110-59,#5E6E3B,15-0-46-57,16.16,Ferngreen,Farngrün,Vertfougère,Verdehelecho,Verdefelce,Varengroen
RAL6026,0-95-78,#005F4E,100-0-18-63,10.75,Opalgreen,Opalgrün,Vertopale,Verdeópalo,Verdeopale,Opaalgroen
RAL6027,126-186-181,#7EBAB5,32-0-3-27,44.35,Lightgreen,Lichtgrün,Vertclair,Verdeluminoso,Verdechiaro,Lichtgroen
RAL6028,49-84-66,#315442,42-0-21-67,10.44,Pinegreen,Kieferngrün,Vertpin,Verdepino,Verdepino,Pijnboomgroen
RAL6029,0-111-61,#006F3D,100-0-45-56,13.93,Mintgreen,Minzgrün,Vertmenthe,Verdementa,Verdementa,Mintgroen
RAL6032,35-127-82,#237F52,72-0-35-50,18.79,Signalgreen,Signalgrün,Vertdesécurité,Verdeseñales,Verdesegnale,Signaalgroen
RAL6033,69-135-127,#45877F,49-0-6-47,22.75,Mintturquoise,Minttürkis,Turquoisementhe,Turquesamenta,Turchesementa,Mintturquoise
RAL6034,122-173-172,#7AADAC,29-0-1-32,38.69,Pastelturquoise,Pastelltürkis,Turquoisepastel,Turquesapastel,Turchesepastello,Pastelturquoise
RAL6035,25-77-37,#194D25,68-0-52-70,10.6,Pearlgreen,Perlgrün,Vertnacré,Verdeperlado,Verdeperlato,Parelmoerdonkergroen
RAL6036,4-87-75,#04574B,95-0-14-66,14.23,Pearlopalgreen,Perlopalgrün,Vertopalnacré,Verdeópaloperlado,Verdeopaloperlato,Parelmoerlichtgroen
RAL6037,0-139-41,#008B29,100-0-71-45,21.38,Puregreen,Reingrün,Vertpur,Verdepuro,Verdepuro,Zuivergroen
RAL6038,0-181-27,#00B51B,100-0-85-29,29.78,Luminousgreen,Leuchtgrün,Vertbrillant,Verdebrillante,Verdebrillante,Briljantgroen
RAL6039,179-196-62,#B3C43E,9-0-68-23,,Fibrousgreen,Fasergrün,Vertfibre,Verdefibra,Verdefibra,Fibergroen
RAL7000,122-136-142,#7A888E,14-4-0-44,25.68,Squirrelgrey,Fehgrau,Grispetit-gris,Grisardilla,Grigiovaio,Pelsgrijs
RAL7001,140-151-156,#8C979C,10-3-0-39,31.66,Silvergrey,Silbergrau,Grisargent,Grisplata,Grigioargento,Zilvergrijs
RAL7002,129-120-99,#817863,0-7-23-49,22.15,Olivegrey,Olivgrau,Grisolive,Grisoliva,Grigioolivastro,Olijfgrijs
RAL7003,121-118-105,#797669,0-2-13-53,20.19,Mossgrey,Moosgrau,Grismousse,Grismusgo,Grigiomuschio,Mosgrijs
RAL7004,154-155-155,#9A9B9B,1-0-0-39,34.79,Signalgrey,Signalgrau,Grisdesécurité,Grisseñales,Grigiosegnale,Signaalgrijs
RAL7005,107-110-107,#6B6E6B,3-0-3-57,18.03,Mousegrey,Mausgrau,Grissouris,Grisratón,Grigiotopo,Muisgrijs
RAL7006,118-106-94,#766A5E,0-10-20-54,16.94,Beigegrey,Beigegrau,Grisbeige,Grisbeige,Grigiobeige,Beigegrijs
RAL7008,116-95-61,#745F3D,0-18-47-55,15.09,Khakigrey,Khakigrau,Griskaki,Griscaqui,Grigiokaki,Kakigrijs
RAL7009,93-96-88,#5D6058,3-0-8-62,12.97,Greengrey,Grüngrau,Grisvert,Grisverdoso,Grigioverdastro,Groengrijs
RAL7010,88-92-86,#585C56,4-0-7-64,12.89,Tarpaulingrey,Zeltgrau,Gristente,Grislona,Grigiotenda,Zeildoekgrijs
RAL7011,82-89-93,#52595D,12-4-0-64,12.04,Irongrey,Eisengrau,Grisfer,Grishierro,Grigioferro,IJzergrijs
RAL7012,87-93-94,#575D5E,7-1-0-63,14.11,Basaltgrey,Basaltgrau,Grisbasalte,Grisbasalto,Grigiobasalto,Bazaltgrijs
RAL7013,87-80-68,#575044,0-8-22-66,10.6,Browngrey,Braungrau,Grisbrun,Grisparduzco,Grigiobrunastro,Bruingrijs
RAL7015,79-83-88,#4F5358,10-6-0-65,11.5,Slategrey,Schiefergrau,Grisardoise,Grispizarra,Grigioardesia,Leigrijs
RAL7016,56-62-66,#383E42,15-6-0-74,8.07,Anthracitegrey,Anthrazitgrau,Grisanthracite,Grisantracita,Grigioantracite,Antracietgrijs
RAL7021,47-50-52,#2F3234,10-4-0-80,6.48,Blackgrey,Schwarzgrau,Grisnoir,Grisnegruzco,Grigionerastro,Zwartgrijs
RAL7022,76-74-68,#4C4A44,0-3-11-70,9.88,Umbragrey,Umbragrau,Gristerred’ombre,Grissombra,Grigioombra,Ombergrijs
RAL7023,128-128-118,#808076,0-0-8-50,23.2,Concretegrey,Betongrau,Grisbéton,Grishormigón,Grigiocalcestruzzo,Betongrijs
RAL7024,69-73-78,#45494E,12-6-0-69,9.34,Graphitegrey,Graphitgrau,Grisgraphite,Grisgrafita,Grigiografite,Grafietgrijs
RAL7026,55-67-69,#374345,20-3-0-73,8.27,Granitegrey,Granitgrau,Grisgranit,Grisgranito,Grigiogranito,Granietgrijs
RAL7030,146-142-133,#928E85,0-3-9-43,29.36,Stonegrey,Steingrau,Grispierre,Grispiedra,Grigiopietra,Steengrijs
RAL7031,91-104-109,#5B686D,17-5-0-57,16.43,Bluegrey,Blaugrau,Grisbleu,Grisazulado,Grigiobluastro,Blauwgrijs
RAL7032,181-176-161,#B5B0A1,0-3-11-29,44.61,Pebblegrey,Kieselgrau,Grissilex,Grisguijarro,Grigioghiaia,Kiezelgrijs
RAL7033,127-130-116,#7F8274,2-0-11-49,24.14,Cementgrey,Zementgrau,Grisciment,Griscemento,Grigiocemento,Cementgrijs
RAL7034,146-136-111,#92886F,0-7-24-43,27.28,Yellowgrey,Gelbgrau,Grisjaune,Grisamarillento,Grigiogiallastro,Geelgrijs
RAL7035,197-199-196,#C5C7C4,1-0-2-22,58.34,Lightgrey,Lichtgrau,Grisclair,Grisluminoso,Grigioluce,Lichtgrijs
RAL7036,151-147-146,#979392,0-3-3-41,31.66,Platinumgrey,Platingrau,Grisplatine,Grisplatino,Grigioplatino,Platinagrijs
RAL7037,122-123-122,#7A7B7A,1-0-1-52,22.95,Dustygrey,Staubgrau,Grispoussière,Grispolvo,Grigiopolvere,Stofgrijs
RAL7038,176-176-169,#B0B0A9,0-0-4-31,45.28,Agategrey,Achatgrau,Grisagate,Griságata,Grigioagata,Agaatgrijs
RAL7039,107-102-94,#6B665E,0-5-12-58,16.62,Quartzgrey,Quarzgrau,Grisquartz,Griscuarzo,Grigioquarzo,Kwartsgrijs
RAL7040,152-158-161,#989EA1,6-2-0-37,35.91,Windowgrey,Fenstergrau,Grisfenêtre,Grisventana,Grigiofinestra,Venstergrijs
RAL7042,142-146-145,#8E9291,3-0-1-43,30.93,TrafficgreyA,VerkehrsgrauA,GrissignalisationA,GristráficoA,GrigiotrafficoA,VerkeersgrijsA
RAL7043,79-82-80,#4F5250,4-0-2-68,11.35,TrafficgreyB,VerkehrsgrauB,GrissignalisationB,GristráficoB,GrigiotrafficoB,VerkeersgrijsB
RAL7044,183-179-168,#B7B3A8,0-2-8-28,47.21,Silkgrey,Seidengrau,Grissoie,Grisseda,Grigioseta,Zijdegrijs
RAL7045,141-146-149,#8D9295,5-2-0-42,31.21,Telegrey1,Telegrau1,Telegris1,Gristele1,Grigiotele1,Telegrijs1
RAL7046,126-134-138,#7E868A,9-3-0-46,25.48,Telegrey2,Telegrau2,Telegris2,Gristele2,Grigiotele2,Telegrijs2
RAL7047,200-200-199,#C8C8C7,0-0-0-22,59.07,Telegrey4,Telegrau4,Telegris4,Gristele4,Grigiotele4,Telegrijs4
RAL7048,129-123-115,#817B73,0-5-11-49,33.57,Pearlmousegrey,Perlmausgrau,Grissourisnacré,Grismusgoperlado,Grigiotopoperlato,Parelmoermuisgrijs
RAL8000,137-105-63,#89693F,0-23-54-46,18.33,Greenbrown,Grünbraun,Brunvert,Pardoverdoso,Marroneverdastro,Groenbruin
RAL8001,157-98-43,#9D622B,0-38-73-38,18.69,Ochrebrown,Ockerbraun,BrunterredeSienne,Pardoocre,Marroneocra,Okerbruin
